query_idx,correlation,p_value,rag_failed
1,-0.10598835600845956,1.0891092928217076e-34,True
2,-0.17032338060791236,1.588877168391163e-87,True
3,-0.14386371790521116,1.0147605164768143e-62,True
4,-0.11814836318662698,9.608427336154e-43,True
5,-0.3123992525790847,2.7007188859004424e-300,True
6,-0.16764113570370978,8.224359727711725e-85,True
7,-0.45513674544476435,0.0,True
8,-0.282987993349923,1.699587708960346e-244,True
9,-0.25860073896152497,4.2269118763896047e-203,True
10,-0.37564283831223927,0.0,True
11,-0.10069088816780171,1.8607131894596338e-31,True
12,-0.3701290489182166,0.0,True
13,-0.3493711975715598,0.0,True
14,-0.486269997973767,0.0,True
15,-0.14354352433587475,1.905149848886413e-62,True
16,-0.33383545171945156,0.0,True
17,-0.19659082425402782,1.582942453654402e-116,True
18,-0.26903679901537875,2.745330418569632e-220,True
19,-0.18890465361102998,1.3944691411862215e-107,True
20,-0.4955341531900768,0.0,True
21,-0.3595263218136789,0.0,True
22,-0.3485089727910105,0.0,True
23,-0.329836343442694,0.0,True
24,-0.22700766237333928,9.827654195388065e-156,True
25,-0.24724406064338217,2.825200487364839e-185,True
26,-0.14695372037811372,2.1571760924939305e-65,True
27,-0.2624915385168399,2.0384714675085187e-209,True
28,-0.14824561278915446,1.5815912592523057e-66,True
29,-0.06422442379314582,1.0782610078061253e-13,True
30,-0.2360355900896398,1.4484692200678124e-168,True
31,-0.24444043025615111,5.157070048531962e-181,True
32,-0.06199707754866175,7.351828988744126e-13,True
33,-0.273154722255548,2.760044818063089e-227,True
34,-0.11645788888827065,1.430399435040724e-41,True
35,-0.218161297573139,1.072287734718373e-143,True
36,-0.45031230260888755,0.0,True
37,-0.23236815529473798,2.7576108342374613e-163,True
38,-0.2963406551242539,5.152228978605726e-269,True
39,-0.25660151697023786,6.759288054348787e-200,True
40,-0.2198874506976286,5.281254535263177e-146,True
41,-0.1973232053752973,2.1238764277329905e-117,True
42,-0.22574581072274089,5.518261004017896e-154,True
43,-0.26458512013998675,7.33905413030877e-213,True
44,-0.39264732181106043,0.0,True
45,-0.17370754885560782,5.151974565242523e-91,True
46,-0.169618463001459,8.293815262014773e-87,True
47,-0.17789749994112805,1.9563312896714398e-95,True
48,-0.26588430920123207,5.162336464774585e-215,True
49,-0.15530612968472057,6.525623610261619e-73,True
50,-0.3508430481049451,0.0,True
51,-0.18686004511102833,2.8810914911741343e-105,True
52,-0.281813056654153,2.109422970100045e-242,True
53,-0.3201036963403209,0.0,True
54,-0.4464498550742167,0.0,True
55,-0.2064539352103327,1.436022948283729e-128,True
56,-0.19285242397767335,3.9620833657390933e-112,True
57,-0.25298994303055966,3.515589551171094e-194,True
58,-0.1927436909281617,5.302703953274615e-112,True
59,-0.24402700371691413,2.168508230898662e-180,True
60,-0.14171599084804634,6.749313152729536e-61,True
61,-0.1796486346009599,2.575337551611372e-97,True
62,-0.3645971216317258,0.0,True
63,-0.2498786064807115,2.4929485846526538e-189,True
64,-0.11205214073470408,1.3531851587645122e-38,True
65,-0.10505860096750966,4.135381097856641e-34,True
66,-0.15757616972626018,4.967624197576355e-75,True
67,-0.22602632328475528,2.2586477005385587e-154,True
68,-0.19328340500651023,1.2458742467778671e-112,True
69,-0.13337170534869922,4.396716131185824e-54,True
70,-0.3548816166675099,0.0,True
71,-0.13064562460289275,5.985002082449224e-52,True
72,-0.1180245452055016,1.1725666182567787e-42,True
73,-0.1908793622543492,7.635066402381992e-110,True
74,-0.26012371213724866,1.4666219199552e-205,True
75,-0.1850164769747337,3.341940615650693e-103,True
76,-0.21178507926403137,2.4084083788136527e-135,True
77,-0.4400836025799323,0.0,True
78,-0.26011492541183956,1.5155024985396853e-205,True
79,-0.2941577870268991,6.482689954420965e-265,True
80,-0.28427008511008406,8.58834176907126e-247,True
81,-0.2318901472041477,1.3240319852742707e-162,True
82,-0.1422840017037424,2.238283875379726e-61,True
83,-0.354462118923034,0.0,True
84,-0.14872790317377213,5.9266558358051875e-67,True
85,-0.09437792916861977,8.022287867002244e-28,True
86,-0.1902790774859165,3.7408632682307094e-109,True
87,-0.24539388569927437,1.8592879135536808e-182,True
88,-0.16426369105121277,1.8539317322292947e-81,True
89,-0.17945455873008345,4.170835336690717e-97,True
90,-0.39359155936384954,0.0,True
91,-0.2722956270213918,8.146131342232043e-226,True
92,-0.19722744551855947,2.76303835771051e-117,True
93,-0.3188099829005939,0.0,True
94,-0.2305528198046477,1.0468503381278855e-160,True
95,-0.2397722552133524,4.860668902225422e-174,True
96,-0.20514048228217246,6.275409602742568e-127,True
97,-0.24402627318859976,2.174013367901863e-180,True
98,-0.3619308125050006,0.0,True
99,-0.0979106879198548,7.933387031438778e-30,True
100,-0.2051693524700434,5.777045156109042e-127,True
101,-0.29807414505935487,2.69470289170017e-272,True
102,-0.1539344226534888,1.200045346221964e-71,True
103,-0.4237418334880652,0.0,True
104,-0.2758345964993203,6.61807108170241e-232,True
105,-0.17299937286216205,2.8061486673199134e-90,True
106,-0.2335839289679739,5.017720767217953e-165,True
107,0.02121114301274705,0.01420923784710276,True
108,-0.2451024469933118,5.141743599403806e-182,True
109,-0.28003699967303886,2.950373620448845e-239,True
110,-0.25989649213742694,3.422481227023774e-205,True
111,-0.2310700529009082,1.9375493697578793e-161,True
112,-0.3056970670188107,5.347670571831312e-287,True
113,-0.19707972607640847,4.144994749807783e-117,True
114,-0.41221173057229576,0.0,True
115,-0.22211715853841837,5.157114672764446e-149,True
116,-0.2254421494909838,1.449343245439375e-153,True
117,-0.20127083487792588,3.6716420479968564e-122,True
118,-0.2645699892815051,7.77393662250422e-213,True
119,-0.3944781710316279,0.0,True
120,-0.29891472544776243,6.77758772670124e-274,True
121,-0.15237309173908264,3.194192540427506e-70,True
122,-0.14445250106497698,3.1744937967634507e-63,True
123,-0.2927573571123819,2.64864502231156e-262,True
124,-0.30081901544572826,1.5407021639282996e-277,True
125,-0.27201243564363226,2.4794600121160734e-225,True
126,-0.2844711637461888,3.738002664981177e-247,True
127,-0.1736489107382329,5.929905345737913e-91,True
128,-0.2612624880164773,2.0717097964001746e-207,True
129,-0.14146531817054,1.0969123153689776e-60,True
130,-0.39257945929150756,0.0,True
131,-0.330462474422749,0.0,True
132,-0.3687088930195279,0.0,True
133,-0.19320965939626358,1.5189176675267195e-112,True
