query_idx,correlation,p_value,rag_failed
1,-0.547347123910718,1.1340625748770651e-18,True
2,-0.7063591252026787,7.566977044634594e-27,True
3,-0.5804453552203439,2.1256048693777686e-20,True
4,-0.5261993902597959,7.572013887996248e-20,True
5,-0.8587287368196186,1.4335902126368603e-53,True
6,-0.7511127007772249,1.2303908778448146e-42,True
7,-0.7498631690709292,9.826878393768347e-38,True
8,-0.6024594904286138,5.45780654069485e-26,True
9,-0.7761277820242536,3.646487516380102e-49,True
10,-0.7317132313692569,5.6833130903285457e-36,True
11,-0.574417036742803,2.156680832800994e-19,True
12,-0.7350284335056771,1.1950481166744412e-38,True
13,-0.7700983156607992,7.461182749207023e-44,True
14,-0.7500186048017394,5.0712907631472414e-39,True
15,-0.6869551336543765,9.98553789849114e-28,True
16,-0.7367931203732493,5.190727274603802e-36,True
17,-0.6888271179899781,5.401588864449962e-33,True
18,-0.7334506311582115,1.6665277555684724e-32,True
19,-0.7058574700157226,1.0723943299122384e-35,True
20,-0.7629542909223741,9.417813023913314e-44,True
21,-0.7843789883639475,1.8038114361882026e-36,True
22,-0.7587973934236669,2.410012462722856e-41,True
23,-0.742654176105597,8.892873104814943e-39,True
24,-0.794150804956037,4.7714137825283196e-49,True
25,-0.6918831248657495,8.1850750105625e-34,True
26,-0.6011924689576467,1.1612579272090246e-19,True
27,-0.8222942268547053,3.87609912156064e-49,True
28,-0.6100371091954382,1.8127286652030442e-26,True
29,-0.5307628429267935,2.5821069634963378e-17,True
30,-0.8043482774075013,7.923995098374527e-50,True
31,-0.5966348910061248,3.452867737637483e-20,True
32,-0.34642901491625233,6.562897561703003e-07,True
33,-0.8122368348954531,1.3850963075557096e-50,True
34,-0.6584856120542198,7.453308392667547e-28,True
35,-0.7280539136056853,2.5789762689453175e-33,True
36,-0.8100394344577276,1.199746221821378e-49,True
37,-0.8068367706857513,2.8408478793919373e-51,True
38,-0.7736739614150309,2.594480008500213e-39,True
39,-0.8183940903614548,1.064415095119504e-51,True
40,-0.7136480513068175,2.637324266912493e-34,True
41,-0.7566515712062096,2.5408686277093007e-39,True
42,-0.7960436091850489,2.0080651255346878e-42,True
43,-0.7586596211840676,1.4231568813853369e-40,True
44,-0.8402818344626296,1.7835540010177184e-53,True
45,-0.7710956739995526,1.8099940535757238e-41,True
46,-0.5396010188323362,1.1694382947566896e-16,True
47,-0.43317787324999846,3.736740531558019e-11,True
48,-0.778445219918912,2.476950989196802e-43,True
49,-0.6694608528075036,6.324279476885995e-29,True
50,-0.7774707877626389,4.96775101130662e-49,True
51,-0.7397231186724182,2.271644652358641e-39,True
52,-0.6054307517927934,3.4195421505181944e-23,True
53,-0.7704032838762181,6.587332025635634e-44,True
54,-0.6814006818402303,1.0742320060943271e-30,True
55,-0.6947831039654421,5.037647951631743e-31,True
56,-0.6986261287359457,5.62294435998095e-34,True
57,-0.7212232595862411,5.666970391261903e-36,True
58,-0.7126134515951699,8.687673527266694e-35,True
59,-0.5630922749884195,4.5659815728157096e-23,True
60,-0.7461441386611978,9.75595777818509e-41,True
61,-0.3053475098833403,1.6609998306445758e-06,True
62,-0.7720574600050563,1.1903531115038974e-39,True
63,-0.6647688285088096,2.0816964883353053e-28,True
64,-0.5950412899327663,7.59514246300343e-23,True
65,-0.5778577038420342,1.771112229997342e-19,True
66,-0.7105090241627124,1.6579768060100532e-32,True
67,-0.8018761115802847,1.0251676023274532e-45,True
68,-0.8303436052070879,2.8267217062371863e-57,True
69,-0.47550007166392066,2.660493033825598e-13,True
70,-0.7960813609134434,9.919468508939266e-53,True
71,-0.7736460609323648,4.2529396989165947e-42,True
72,-0.62072059589099,1.567367103700772e-26,True
73,-0.5638055691828991,1.5415127391000063e-21,True
74,-0.8123582292876254,4.411234572858412e-47,True
75,-0.8010081493624875,1.272246108059053e-40,True
76,-0.7950258772078157,2.355293999953673e-48,True
77,-0.7672125948706953,1.2170960323946954e-46,True
78,-0.6187781165286224,1.5601034439499966e-24,True
79,-0.8507168494250968,2.2299304902294116e-63,True
80,-0.6512452581727928,8.180929829037537e-28,True
81,-0.4088056733814562,8.170918500464394e-12,True
82,-0.6787758182328857,1.5095777669771803e-32,True
83,-0.7246311441970961,1.6053683336898629e-40,True
84,-0.7508893640575524,8.697853479474178e-41,True
85,-0.6244484224676233,6.528256721612307e-23,True
86,-0.7248286915663462,5.767366815748685e-30,True
87,-0.4135887566073371,1.5393743813092957e-12,True
88,-0.3750194271133636,1.7778464918764225e-10,True
89,-0.6927202504537202,2.388402164794666e-29,True
90,-0.8191220092099427,1.3707523249417621e-52,True
91,-0.5889121646135612,2.13813857281345e-22,True
92,-0.7319787197111127,1.0977965077550093e-37,True
93,-0.7952678445757073,3.0558209187347814e-51,True
94,-0.7634962848610614,2.6815884881871733e-34,True
95,-0.6630551598363874,7.198197024958646e-30,True
96,-0.6840274204190177,1.156060849661115e-32,True
97,-0.7819903601172137,3.3457809043551136e-45,True
98,-0.7149628172393512,5.972885387636565e-35,True
99,-0.5001609506850695,3.749241342903868e-16,True
100,-0.7570334074677764,1.1591958235651536e-35,True
101,-0.7087947948110469,2.0362219794167932e-25,True
102,-0.7641743293284867,4.078147671716088e-45,True
103,-0.7994367665053329,1.3833365777586918e-46,True
104,-0.7167622105582979,1.498017935552233e-40,True
105,-0.6401604815366932,2.6520031036087107e-26,True
106,-0.7817282686542251,1.4822603290969756e-38,True
107,0.1958447431295022,0.001639825146976276,True
108,-0.7580046113170816,4.84974588243438e-38,True
109,-0.8354155301553913,2.0814041985720284e-54,True
110,-0.6679237337201607,1.3420029409474052e-31,True
111,-0.6643882595602639,7.41153336394911e-28,True
112,-0.7133338426659873,2.7734340410164166e-36,True
113,-0.7606066893750385,1.3228558336206302e-45,True
114,-0.6890428090263951,2.564530041387494e-32,True
115,-0.6296857495172912,4.870514676955348e-25,True
116,-0.7435464164955526,2.1857928735690148e-38,True
117,-0.6559684073887212,1.9657485525960745e-29,True
118,-0.592387842261769,4.8524381239139795e-22,True
119,-0.7313457558230446,9.863748266847768e-31,True
120,-0.7941043682618286,3.606830474262169e-48,True
121,-0.7626016284364914,4.464087391775856e-40,True
122,-0.8385676161245484,7.969355056266107e-49,True
123,-0.5801455625306695,1.996863645405112e-24,True
124,-0.8105101497760631,5.173887348602869e-46,True
125,-0.6946148837463368,1.842903564530572e-34,True
126,-0.6835327362170837,1.992373299257223e-33,True
127,-0.6161561550995548,1.6654671619443994e-22,True
128,-0.7730958110462797,5.276464541057483e-42,True
129,-0.7708914425403232,1.2889926701763243e-42,True
130,-0.6370709401727171,2.3278587186537403e-27,True
131,-0.7372807452335994,1.1912607047255147e-38,True
132,-0.7202208137565834,7.21415878437643e-39,True
133,-0.7195757477698989,2.716705960210681e-38,True
134,-0.7147173545100007,3.162855635761324e-30,True
135,-0.8404332785725785,1.639504265058561e-53,True
136,-0.58268306001856,1.716976789518994e-23,True
137,-0.7270120762019214,3.0327952222182463e-40,True
138,-0.7406305713561514,1.8084030899092093e-38,True
139,-0.7271492491585778,1.6837647878525091e-35,True
140,-0.7535992540893475,3.1432809894211784e-41,True
141,-0.758313299502061,1.2253160370704733e-41,True
142,-0.7393110389489899,5.83088670538709e-39,True
143,-0.5695079152099483,4.0335511703614847e-22,True
144,-0.7832023212551564,1.597934656506717e-42,True
145,-0.7615914961237346,6.477364110627358e-40,True
146,-0.7899784596673987,3.229269368903633e-45,True
147,-0.6568851229937458,3.726424039375535e-30,True
148,-0.7874922190799316,2.3972898809692385e-48,True
149,-0.7319500777721082,1.1726556281098164e-33,True
150,-0.8066863695176444,7.888558954209589e-42,True
151,-0.6718095218884502,6.03678287662807e-32,True
152,-0.5791255876433838,4.895810731261509e-19,True
153,-0.7441387659885458,1.1973930556871844e-41,True
154,-0.8050876270923255,8.121591765411841e-57,True
155,-0.778048747678237,1.033601125146076e-46,True
156,-0.8350899953559292,2.2646178959897192e-55,True
157,-0.7885739602416274,1.803166908250941e-43,True
158,-0.7893105439415666,8.523461150005206e-47,True
159,-0.7832920357851415,3.675773981835325e-43,True
160,-0.804825661047506,3.028249421449703e-49,True
161,-0.7477026532736601,5.055263111586123e-39,True
162,-0.7289267135229845,2.136602768740058e-38,True
163,-0.6591151501713566,3.6491614202711417e-31,True
164,-0.7617031714328296,2.2487725246126134e-46,True
165,-0.6504408713104028,3.991283465141162e-27,True
166,-0.584238115830485,8.199401993367838e-23,True
167,-0.8030939578778804,5.944695743682263e-53,True
168,-0.5828748963155227,2.032058117290346e-23,True
169,-0.7274137785665019,1.547347297541519e-35,True
170,-0.638200175804832,1.5005271449123893e-22,True
171,-0.7454392759985247,2.020274365327416e-34,True
172,-0.7278425563046351,6.813158187214004e-39,True
173,-0.72177591595295,1.0776846870552222e-36,True
174,-0.8313895890563621,3.8948408716578464e-51,True
175,-0.8024255597519363,2.0622744844176436e-40,True
176,-0.789418475126117,6.706481239469845e-45,True
177,-0.8060749020706741,4.7666564260058e-49,True
178,-0.7134975639423156,2.263564753128488e-28,True
179,-0.665573375835061,7.01652203995279e-29,True
180,-0.7828853196455662,1.1257639633322732e-42,True
181,-0.6463373089954874,2.069304213461382e-27,True
182,-0.7482091943905388,3.5498437385838615e-40,True
183,-0.6176102509529007,5.382139410318358e-20,True
184,-0.7325619661874966,5.888417131736934e-40,True
185,-0.8038335270829717,2.7994384737769675e-44,True
186,-0.764998178872957,5.319113725993497e-42,True
187,-0.601456749249196,5.116326638387454e-24,True
188,-0.7375075327124067,1.0383342200297022e-33,True
189,-0.6110679449966518,2.6885227615471546e-23,True
190,-0.7902062461572428,2.5007488710934768e-46,True
191,-0.6729041372564442,1.4170164336129144e-29,True
192,-0.6590802524952712,2.1055976864881952e-33,True
193,-0.7192024772241666,4.794962995193369e-28,True
194,-0.7927016332607815,2.079789677538611e-41,True
195,-0.47731896733598556,4.326554260479348e-14,True
196,-0.6920256968050951,2.8831770421341288e-31,True
197,-0.737510116195596,1.0992545007559803e-38,True
198,-0.6214721357432242,4.088077377308639e-22,True
199,-0.7668088210376137,1.1587133452925378e-43,True
