metric,value
"MRR (optimistic, min-rank)",0.9814927174992627
"MRR (tie-corrected, avg-rank)",0.2570691482590009
"MRR (pessimistic, max-rank)",0.16947567246905695
"P@1 (optimistic, rank_min<=k)",0.9798994974874372
"P@1 (tie-corrected, rank_avg<=k)",0.03015075376884422
"P@1 (pessimistic, rank_max<=k)",0.03015075376884422
"P@3 (optimistic, rank_min<=k)",0.9798994974874372
"P@3 (tie-corrected, rank_avg<=k)",0.271356783919598
"P@3 (pessimistic, rank_max<=k)",0.135678391959799
"P@5 (optimistic, rank_min<=k)",0.9798994974874372
"P@5 (tie-corrected, rank_avg<=k)",0.507537688442211
"P@5 (pessimistic, rank_max<=k)",0.271356783919598
"P@10 (optimistic, rank_min<=k)",0.9899497487437185
"P@10 (tie-corrected, rank_avg<=k)",0.8693467336683417
"P@10 (pessimistic, rank_max<=k)",0.5326633165829145
"P@20 (optimistic, rank_min<=k)",0.9899497487437185
"P@20 (tie-corrected, rank_avg<=k)",0.9798994974874372
"P@20 (pessimistic, rank_max<=k)",0.8844221105527639
"P@50 (optimistic, rank_min<=k)",0.9949748743718593
"P@50 (tie-corrected, rank_avg<=k)",0.9949748743718593
"P@50 (pessimistic, rank_max<=k)",0.9849246231155779
