dist_bin,mean,median,std,count,dist_bin_label
0,0.21501568803227253,0.1,0.19760942168270842,100395,"(0.051699999999999996, 0.702]"
1,0.13896348387353827,0.1,0.09053041522010566,100394,"(0.702, 0.771]"
2,0.12863617347650258,0.1,0.07472545714492548,100394,"(0.771, 0.814]"
3,0.12419766121481364,0.1,0.06770414816693301,100394,"(0.814, 0.846]"
4,0.12142060282487002,0.1,0.06261661944723085,100394,"(0.846, 0.875]"
5,0.11976014502858737,0.1,0.06008999724074753,100394,"(0.875, 0.901]"
6,0.11806382851564837,0.1,0.057236680912993984,100394,"(0.901, 0.927]"
7,0.1164123353985298,0.1,0.05407386335039066,100394,"(0.927, 0.955]"
8,0.11488136741239517,0.1,0.05089100202488183,100394,"(0.955, 0.991]"
9,0.11334741119987252,0.1,0.04792201340513884,100394,"(0.991, 1.21]"
