query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pointbiserial_r,pointbiserial_p
1,6000,-0.09581256703736507,1.0285907606959663e-13,-0.44883255822243473,2.309418891064155e-295,-0.07817098894547421,1.0451617925870902e-13,0.2416938937665586,1.70580992891193e-80
2,6000,-0.189525272902917,1.2265021221544664e-49,-0.49723943761890393,0.0,-0.1544312741184636,3.6566125292308095e-49,0.15734326315175093,1.4548133352317733e-34
3,6000,-0.09104177586222384,1.6030124561510653e-12,-0.18354149606295195,1.3026666201361649e-46,-0.07367963077375168,1.357136541229271e-12,0.1656319681437599,3.636165522280365e-38
4,6000,-0.08569299358184568,2.9589430710414684e-11,-0.26047105680432364,1.2326592225869796e-93,-0.06944066484296992,2.916864916526569e-11,0.16779583568924994,3.877019033453433e-39
5,6000,-0.21989104500653966,1.317471698392575e-66,-0.4572462683733782,7.272257254302451e-308,-0.17809164687260892,2.3097148971574617e-66,0.10444816184129975,5.019374138302101e-16
6,6000,-0.1076107354919248,6.37719445954665e-17,-0.29146856599005266,8.222339812705557e-118,-0.08679196017487352,5.979952282433421e-17,0.1332540270741078,3.5433513951805616e-25
7,6000,-0.3445884257593704,6.924751497601278e-167,-0.44682357607852885,1.9812170125872981e-292,-0.270829847813295,3.1201502376430367e-161,0.08201148320030432,1.9917290860055814e-10
8,6000,-0.12455884555455704,3.5260808237540106e-22,-0.29338978224105494,2.050292509904131e-119,-0.09930584383559912,2.9020463829330086e-22,0.09320777744436531,4.686567013007041e-13
9,6000,-0.24953763972928397,7.540402425122846e-86,-0.4842949236408767,0.0,-0.20312034081250196,1.7444215737538307e-84,0.1331303960295448,3.9217404256610784e-25
10,6000,-0.21489892597459392,1.2499575457340253e-63,-0.32901811301718364,1.861884305488641e-151,-0.17003920670437067,2.6369740465050767e-63,0.09699521475420728,5.097009568085303e-14
11,6000,-0.09750511182444631,3.7558522922196555e-14,-0.20175277277569093,3.820425296207703e-56,-0.07941025834290309,4.123081529059821e-14,0.26234527435600175,5.222795843151705e-95
12,6000,-0.2180873831326512,1.5995992268086346e-65,-0.42533669409335106,2.9062040576035247e-262,-0.1765842227652655,2.9967686165595748e-65,0.12271674552233072,1.4325608872386966e-21
13,6000,-0.19307866441252358,1.7485126566446635e-51,-0.42905976069935103,2.463596729567429e-267,-0.15690887584419533,1.873406608890342e-51,0.13850088754119527,4.373975131038506e-27
14,6000,-0.26604446891082817,9.441138772509204e-98,-0.3845504467602833,1.00180376459798e-210,-0.20787432226491795,6.830600054244574e-97,0.0791122851493373,8.443706809187372e-10
15,6000,-0.1508911232878642,6.824468431406479e-32,-0.2893151022767876,4.979570787185487e-116,-0.1217006132532346,1.2419832673847656e-31,0.14583889214664844,7.0011408144878e-30
16,6000,-0.11408028745382978,7.738143497073796e-19,-0.2706963530157664,2.904570186939148e-101,-0.09131607251336922,6.437132487002063e-19,0.11968052796530053,1.379165994374473e-20
17,6000,-0.12234583539197602,1.8949259784656428e-21,-0.330961924811647,2.4679466034959536e-153,-0.09883017671379395,1.9374225992906377e-21,0.13749745680655434,1.0272848927789365e-26
18,6000,-0.13211653346914864,8.979860194824317e-25,-0.21658814777421104,1.2527042624882342e-64,-0.10600428278432913,1.0435298275765713e-24,0.1242412173277324,4.497006889574151e-22
19,6000,-0.13718363847735116,1.339972594611566e-26,-0.3226480649638369,2.124909443255566e-145,-0.11058916474138665,1.629102172192709e-26,0.13926571048959901,2.2718885826303227e-27
20,6000,-0.34666807205166705,5.145413447138247e-169,-0.5318112518173059,0.0,-0.2780132885069892,8.375980958776009e-164,0.10284349364921477,1.396765446959487e-15
21,6000,-0.17840476465651642,4.271602329363114e-44,-0.37768559356865394,9.596440830184586e-203,-0.1432146635424662,2.4664206461446506e-44,0.12056578014696691,7.168485208260693e-21
22,6000,-0.22682502127872475,7.245875458412657e-71,-0.3847927423182744,5.194660069845589e-211,-0.1817144434911572,4.462463179698732e-70,0.11249014985423803,2.343842835864129e-18
23,6000,-0.2749834426069108,1.4597832306794902e-104,-0.41124311967709504,1.237161480904159e-243,-0.2219083238653513,9.169039871658994e-103,0.12605434855491573,1.1124431359937061e-22
24,6000,-0.17533967820856713,1.2469179762764646e-42,-0.47150442123218844,0.0,-0.14053931009838172,5.649307617680556e-43,0.08605882058168003,2.4373579276872845e-11
25,6000,-0.14429048353343862,2.8017053258141273e-29,-0.3650938824743872,1.343596907799358e-188,-0.11701328212677267,2.835205785917739e-29,0.14437108151249867,2.60757509782522e-29
