query_idx,gt_score,n_tied_at_gt,n_above_gt,n_docs,tier_precision,gt_uniquely_top
1,1.0,7,0,6000,0.14285714285714285,0
2,1.0,18,0,6000,0.05555555555555555,0
3,1.0,2,0,6000,0.5,0
4,1.0,9,0,6000,0.1111111111111111,0
5,1.0,34,0,6000,0.029411764705882353,0
6,1.0,12,0,6000,0.08333333333333333,0
7,1.0,8,0,6000,0.125,0
8,1.0,32,0,6000,0.03125,0
9,1.0,14,0,6000,0.07142857142857142,0
10,1.0,7,0,6000,0.14285714285714285,0
11,1.0,4,0,6000,0.25,0
12,1.0,14,0,6000,0.07142857142857142,0
13,1.0,13,0,6000,0.07692307692307693,0
14,1.0,7,0,6000,0.14285714285714285,0
15,1.0,4,0,6000,0.25,0
16,1.0,6,0,6000,0.16666666666666666,0
17,1.0,14,0,6000,0.07142857142857142,0
18,1.0,2,0,6000,0.5,0
19,1.0,8,0,6000,0.125,0
20,1.0,7,0,6000,0.14285714285714285,0
21,1.0,4,0,6000,0.25,0
22,1.0,11,0,6000,0.09090909090909091,0
23,1.0,1,0,6000,1.0,1
24,1.0,52,0,6000,0.019230769230769232,0
25,1.0,5,0,6000,0.2,0
26,1.0,25,0,6000,0.04,0
27,1.0,30,0,6000,0.03333333333333333,0
28,1.0,8,0,6000,0.125,0
29,1.0,11,0,6000,0.09090909090909091,0
30,1.0,12,0,6000,0.08333333333333333,0
31,1.0,17,0,6000,0.058823529411764705,0
32,1.0,5,0,6000,0.2,0
33,1.0,7,0,6000,0.14285714285714285,0
34,1.0,7,0,6000,0.14285714285714285,0
35,1.0,19,0,6000,0.05263157894736842,0
36,1.0,14,0,6000,0.07142857142857142,0
37,1.0,29,0,6000,0.034482758620689655,0
38,1.0,9,0,6000,0.1111111111111111,0
39,1.0,19,0,6000,0.05263157894736842,0
40,1.0,20,0,6000,0.05,0
41,1.0,14,0,6000,0.07142857142857142,0
42,1.0,5,0,6000,0.2,0
43,0.8,9,5,6000,0.1111111111111111,0
44,1.0,22,0,6000,0.045454545454545456,0
45,1.0,18,0,6000,0.05555555555555555,0
46,1.0,7,0,6000,0.14285714285714285,0
47,1.0,16,0,6000,0.0625,0
48,1.0,16,0,6000,0.0625,0
49,1.0,1,0,6000,1.0,1
50,1.0,29,0,6000,0.034482758620689655,0
51,1.0,10,0,6000,0.1,0
52,1.0,12,0,6000,0.08333333333333333,0
53,1.0,26,0,6000,0.038461538461538464,0
54,1.0,5,0,6000,0.2,0
55,1.0,4,0,6000,0.25,0
56,1.0,12,0,6000,0.08333333333333333,0
57,1.0,13,0,6000,0.07692307692307693,0
58,1.0,25,0,6000,0.04,0
59,1.0,11,0,6000,0.09090909090909091,0
60,1.0,15,0,6000,0.06666666666666667,0
61,1.0,5,0,6000,0.2,0
62,1.0,18,0,6000,0.05555555555555555,0
63,1.0,14,0,6000,0.07142857142857142,0
64,1.0,6,0,6000,0.16666666666666666,0
65,1.0,2,0,6000,0.5,0
