query_idx,K,jaccard,intersection
1,5,0.6666666666666666,4
1,10,0.5384615384615384,7
1,20,0.3793103448275862,11
1,50,0.42857142857142855,30
1,100,0.21212121212121213,35
2,5,0.25,2
2,10,0.1111111111111111,2
2,20,0.21212121212121213,7
2,50,0.47058823529411764,32
2,100,0.35135135135135137,52
3,5,0.6666666666666666,4
3,10,0.42857142857142855,6
3,20,0.2903225806451613,9
3,50,0.20481927710843373,17
3,100,0.11731843575418995,21
4,5,0.42857142857142855,3
4,10,0.5384615384615384,7
4,20,0.42857142857142855,12
4,50,0.3333333333333333,25
4,100,0.1834319526627219,31
5,5,0.42857142857142855,3
5,10,0.42857142857142855,6
5,20,0.3333333333333333,10
5,50,0.42857142857142855,30
5,100,0.43884892086330934,61
6,5,0.1111111111111111,1
6,10,0.1111111111111111,2
6,20,0.6,15
6,50,0.4084507042253521,29
6,100,0.22699386503067484,37
7,5,0.25,2
7,10,0.17647058823529413,3
7,20,0.14285714285714285,5
7,50,0.14942528735632185,13
7,100,0.14285714285714285,25
8,5,0.25,2
8,10,0.17647058823529413,3
8,20,0.14285714285714285,5
8,50,0.3698630136986301,27
8,100,0.2987012987012987,46
9,5,0.25,2
9,10,0.17647058823529413,3
9,20,0.3793103448275862,11
9,50,0.35135135135135137,26
9,100,0.3333333333333333,50
10,5,0.42857142857142855,3
10,10,0.3333333333333333,5
10,20,0.2903225806451613,9
10,50,0.19047619047619047,16
10,100,0.17647058823529413,30
11,5,0.1111111111111111,1
11,10,0.17647058823529413,3
11,20,0.17647058823529413,6
11,50,0.14942528735632185,13
11,100,0.16279069767441862,28
12,5,0.25,2
12,10,0.3333333333333333,5
12,20,0.42857142857142855,12
12,50,0.4084507042253521,29
12,100,0.32450331125827814,49
13,5,0.1111111111111111,1
13,10,0.3333333333333333,5
13,20,0.42857142857142855,12
13,50,0.4492753623188406,31
13,100,0.26582278481012656,42
14,5,0.25,2
14,10,0.25,4
14,20,0.2903225806451613,9
14,50,0.2345679012345679,19
14,100,0.1695906432748538,29
15,5,0.1111111111111111,1
15,10,0.1111111111111111,2
15,20,0.25,8
15,50,0.28205128205128205,22
