query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
1,6000,-0.09581256703736507,1.0285907606959663e-13,-0.44883255822243473,2.309418891064155e-295
2,6000,-0.189525272902917,1.2265021221544664e-49,-0.49723943761890393,0.0
3,6000,-0.09104177586222384,1.6030124561510653e-12,-0.18354149606295195,1.3026666201361649e-46
4,6000,-0.08569299358184568,2.9589430710414684e-11,-0.26047105680432364,1.2326592225869796e-93
5,6000,-0.21989104500653966,1.317471698392575e-66,-0.4572462683733782,7.272257254302451e-308
6,6000,-0.1076107354919248,6.37719445954665e-17,-0.29146856599005266,8.222339812705557e-118
7,6000,-0.3445884257593704,6.924751497601278e-167,-0.44682357607852885,1.9812170125872981e-292
8,6000,-0.12455884555455704,3.5260808237540106e-22,-0.29338978224105494,2.050292509904131e-119
9,6000,-0.24953763972928397,7.540402425122846e-86,-0.4842949236408767,0.0
10,6000,-0.21489892597459392,1.2499575457340253e-63,-0.32901811301718364,1.861884305488641e-151
11,6000,-0.09750511182444631,3.7558522922196555e-14,-0.20175277277569093,3.820425296207703e-56
12,6000,-0.2180873831326512,1.5995992268086346e-65,-0.42533669409335106,2.9062040576035247e-262
13,6000,-0.19307866441252358,1.7485126566446635e-51,-0.42905976069935103,2.463596729567429e-267
14,6000,-0.26604446891082817,9.441138772509204e-98,-0.3845504467602833,1.00180376459798e-210
15,6000,-0.1508911232878642,6.824468431406479e-32,-0.2893151022767876,4.979570787185487e-116
16,6000,-0.11408028745382978,7.738143497073796e-19,-0.2706963530157664,2.904570186939148e-101
17,6000,-0.12234583539197602,1.8949259784656428e-21,-0.330961924811647,2.4679466034959536e-153
18,6000,-0.13211653346914864,8.979860194824317e-25,-0.21658814777421104,1.2527042624882342e-64
19,6000,-0.13718363847735116,1.339972594611566e-26,-0.3226480649638369,2.124909443255566e-145
20,6000,-0.34666807205166705,5.145413447138247e-169,-0.5318112518173059,0.0
21,6000,-0.17840476465651642,4.271602329363114e-44,-0.37768559356865394,9.596440830184586e-203
22,6000,-0.22682502127872475,7.245875458412657e-71,-0.3847927423182744,5.194660069845589e-211
23,6000,-0.2749834426069108,1.4597832306794902e-104,-0.41124311967709504,1.237161480904159e-243
24,6000,-0.17533967820856713,1.2469179762764646e-42,-0.47150442123218844,0.0
25,6000,-0.14429048353343862,2.8017053258141273e-29,-0.3650938824743872,1.343596907799358e-188
