query_idx,rank_min,rank_avg,rank_max,n_docs
1,1.0,4.0,7.0,6000
2,1.0,9.5,18.0,6000
3,1.0,1.5,2.0,6000
4,1.0,5.0,9.0,6000
5,1.0,17.5,34.0,6000
6,1.0,6.5,12.0,6000
7,1.0,4.5,8.0,6000
8,1.0,16.5,32.0,6000
9,1.0,7.5,14.0,6000
10,1.0,4.0,7.0,6000
11,1.0,2.5,4.0,6000
12,1.0,7.5,14.0,6000
13,1.0,7.0,13.0,6000
14,1.0,4.0,7.0,6000
15,1.0,2.5,4.0,6000
16,1.0,3.5,6.0,6000
17,1.0,7.5,14.0,6000
18,1.0,1.5,2.0,6000
19,1.0,4.5,8.0,6000
20,1.0,4.0,7.0,6000
21,1.0,2.5,4.0,6000
22,1.0,6.0,11.0,6000
23,1.0,1.0,1.0,6000
24,1.0,26.5,52.0,6000
25,1.0,3.0,5.0,6000
26,1.0,13.0,25.0,6000
27,1.0,15.5,30.0,6000
28,1.0,4.5,8.0,6000
29,1.0,6.0,11.0,6000
30,1.0,6.5,12.0,6000
31,1.0,9.0,17.0,6000
32,1.0,3.0,5.0,6000
33,1.0,4.0,7.0,6000
34,1.0,4.0,7.0,6000
35,1.0,10.0,19.0,6000
36,1.0,7.5,14.0,6000
37,1.0,15.0,29.0,6000
38,1.0,5.0,9.0,6000
39,1.0,10.0,19.0,6000
40,1.0,10.5,20.0,6000
41,1.0,7.5,14.0,6000
42,1.0,3.0,5.0,6000
43,6.0,10.0,14.0,6000
44,1.0,11.5,22.0,6000
45,1.0,9.5,18.0,6000
46,1.0,4.0,7.0,6000
47,1.0,8.5,16.0,6000
48,1.0,8.5,16.0,6000
49,1.0,1.0,1.0,6000
50,1.0,15.0,29.0,6000
51,1.0,5.5,10.0,6000
52,1.0,6.5,12.0,6000
53,1.0,13.5,26.0,6000
54,1.0,3.0,5.0,6000
55,1.0,2.5,4.0,6000
56,1.0,6.5,12.0,6000
57,1.0,7.0,13.0,6000
58,1.0,13.0,25.0,6000
59,1.0,6.0,11.0,6000
60,1.0,8.0,15.0,6000
61,1.0,3.0,5.0,6000
62,1.0,9.5,18.0,6000
63,1.0,7.5,14.0,6000
64,1.0,3.5,6.0,6000
65,1.0,1.5,2.0,6000
66,1.0,12.5,24.0,6000
67,1.0,6.5,12.0,6000
68,1.0,4.5,8.0,6000
69,1.0,6.5,12.0,6000
70,1.0,4.5,8.0,6000
71,1.0,4.5,8.0,6000
72,1.0,12.5,24.0,6000
73,1.0,3.0,5.0,6000
74,1.0,8.0,15.0,6000
75,1.0,13.5,26.0,6000
76,1.0,5.0,9.0,6000
77,1.0,5.0,9.0,6000
78,1.0,8.0,15.0,6000
79,1.0,1.5,2.0,6000
80,1.0,8.5,16.0,6000
81,1.0,8.5,16.0,6000
82,1.0,4.0,7.0,6000
83,1.0,1.5,2.0,6000
84,1.0,8.5,16.0,6000
85,1.0,2.0,3.0,6000
86,1.0,2.0,3.0,6000
87,28.0,47.0,66.0,6000
88,1.0,1.0,1.0,6000
89,1.0,3.0,5.0,6000
90,1.0,9.5,18.0,6000
91,1.0,7.0,13.0,6000
92,1.0,3.5,6.0,6000
93,1.0,8.0,15.0,6000
94,1.0,15.5,30.0,6000
95,1.0,4.0,7.0,6000
96,1.0,8.0,15.0,6000
97,1.0,4.0,7.0,6000
98,1.0,3.5,6.0,6000
99,1.0,10.0,19.0,6000
100,1.0,3.0,5.0,6000
101,1.0,7.5,14.0,6000
102,1.0,1.5,2.0,6000
103,1.0,10.5,20.0,6000
104,1.0,14.5,28.0,6000
105,1.0,4.0,7.0,4140
106,1.0,9.5,18.0,4000
107,281.0,2140.5,4000.0,4000
108,1.0,2.0,3.0,4000
109,1.0,6.5,12.0,4000
110,1.0,2.5,4.0,4000
111,1.0,1.0,1.0,4000
112,1.0,5.0,9.0,4000
113,1.0,8.0,15.0,4000
114,1.0,3.0,5.0,4000
115,1.0,6.0,11.0,4000
116,1.0,2.0,3.0,4000
117,1.0,2.5,4.0,4000
118,1.0,5.5,10.0,4000
119,1.0,1.5,2.0,4000
120,1.0,9.5,18.0,4000
121,1.0,5.5,10.0,4000
122,1.0,5.0,9.0,4000
123,1.0,8.0,15.0,4000
124,1.0,10.0,19.0,4000
125,1.0,5.0,9.0,4000
126,1.0,2.5,4.0,4000
127,1.0,4.0,7.0,4000
128,1.0,9.0,17.0,4000
129,1.0,1.5,2.0,4000
130,1.0,7.0,13.0,4000
131,1.0,7.5,14.0,4000
132,1.0,6.0,11.0,4000
133,1.0,2.0,3.0,4000
134,1.0,5.5,10.0,4000
135,1.0,15.5,30.0,4000
136,1.0,4.5,8.0,4000
137,1.0,4.5,8.0,4000
138,1.0,2.5,4.0,4000
139,1.0,7.0,13.0,4000
140,9.0,13.5,18.0,4000
141,1.0,4.5,8.0,4000
142,1.0,4.5,8.0,4000
143,1.0,1.5,2.0,4000
144,1.0,3.5,6.0,4000
145,1.0,4.5,8.0,4000
146,1.0,12.0,23.0,4000
147,1.0,2.0,3.0,4000
148,1.0,7.5,14.0,4000
149,1.0,4.0,7.0,4000
150,1.0,12.0,23.0,4000
151,1.0,5.5,10.0,4000
152,1.0,2.5,4.0,4000
153,1.0,12.0,23.0,4000
154,1.0,2.5,4.0,4000
155,1.0,5.0,9.0,4000
156,1.0,6.0,11.0,4000
157,1.0,5.0,9.0,4000
158,1.0,9.5,18.0,4000
159,1.0,6.5,12.0,4000
160,1.0,4.5,8.0,4000
161,1.0,6.0,11.0,4000
162,1.0,1.5,2.0,4000
163,1.0,2.5,4.0,4000
164,1.0,11.5,22.0,4000
165,1.0,3.0,5.0,4000
166,1.0,3.0,5.0,4000
167,1.0,5.0,9.0,4000
168,1.0,6.0,11.0,4000
169,1.0,1.5,2.0,4000
170,1.0,7.5,14.0,4000
171,1.0,8.5,16.0,4000
172,1.0,8.0,15.0,4000
173,1.0,3.5,6.0,4000
174,1.0,5.0,9.0,4000
175,1.0,7.0,13.0,4000
176,1.0,3.5,6.0,4000
177,1.0,7.0,13.0,4000
178,1.0,3.0,5.0,4000
179,1.0,4.0,7.0,4000
180,1.0,1.0,1.0,4000
181,1.0,3.5,6.0,4000
182,1.0,2.0,3.0,4000
183,1.0,1.5,2.0,4000
184,1.0,2.5,4.0,4000
185,1.0,7.5,14.0,4000
186,1.0,3.0,5.0,4000
187,1.0,1.0,1.0,4000
188,1.0,1.5,2.0,4000
189,1.0,2.5,4.0,4000
190,1.0,20.5,40.0,4000
191,1.0,4.5,8.0,4000
192,1.0,8.0,15.0,4000
193,1.0,8.0,15.0,4000
194,1.0,8.0,15.0,4000
195,1.0,5.0,9.0,4000
196,1.0,2.0,3.0,4000
197,1.0,6.5,12.0,4000
198,1.0,3.0,5.0,4000
199,1.0,7.0,13.0,4000
