query_idx,gt_dist,mean_ngt_dist,min_ngt_dist,n_in_tier,pct_ngt_further,gt_would_win_dist
1,0.0,0.2871364156405131,0.13472259044647217,7,100.0,1
2,0.0,0.3423517346382141,0.257199764251709,18,100.0,1
3,0.0,0.5965328514575958,0.5965328514575958,2,100.0,1
4,0.0,0.23455069214105606,0.1155085563659668,9,100.0,1
5,0.0,0.3038299426887975,0.1044464111328125,34,100.0,1
6,0.0,0.35735251144929364,0.18743455410003662,12,100.0,1
7,0.0,0.38129180669784546,0.2022188901901245,8,100.0,1
8,0.0,0.4907926109529311,0.2414642572402954,32,100.0,1
9,0.0,0.3380555441746345,0.1866588592529297,14,100.0,1
10,0.0,0.2631298402945201,0.09009277820587158,7,100.0,1
11,0.0,0.7824951348205408,0.5051432251930237,4,100.0,1
12,0.0,0.32348629803611684,0.19974887371063232,14,100.0,1
13,0.0,0.19869026045004526,0.12352859973907471,13,100.0,1
14,0.0,0.4034082392851512,0.2732148766517639,7,100.0,1
15,1.7881393432617188e-07,0.31999526421229046,0.2993418574333191,4,100.0,1
16,0.0,0.30805402994155884,0.19368433952331543,6,100.0,1
17,5.960464477539063e-08,0.2953478413132521,0.13325810432434082,14,100.0,1
18,0.0,0.6747624278068542,0.6747624278068542,2,100.0,1
19,0.0,0.34450994219098774,0.2657114267349243,8,100.0,1
20,0.0,0.28141236305236816,0.23135119676589966,7,100.0,1
21,0.0,0.2349844972292582,0.18917059898376465,4,100.0,1
22,0.0,0.3384500205516815,0.24101126194000244,11,100.0,1
24,0.0,0.3080316793684866,0.07315337657928467,52,100.0,1
25,2.384185791015625e-07,0.3781089037656784,0.2460954189300537,5,100.0,1
26,0.0,0.34500159447391826,0.22084176540374756,25,100.0,1
27,0.0,0.2352182885696148,0.1259925365447998,30,100.0,1
28,0.0,0.2635410257748195,0.15141558647155762,8,100.0,1
29,0.0,0.4939869962632656,0.32776451110839844,11,100.0,1
30,0.0,0.26986527984792535,0.20325219631195068,12,100.0,1
31,0.0,0.3080941401422024,0.07629591226577759,17,100.0,1
32,0.0,0.5350789576768875,0.3395313024520874,5,100.0,1
33,0.0,0.21541366974512735,0.15289366245269775,7,100.0,1
34,0.0,0.4137806197007497,0.3178640604019165,7,100.0,1
35,2.384185791015625e-07,0.3156084203057819,0.12535035610198975,19,100.0,1
