index,question,ground_truth_id,naive_id,tri_id,naive_hit,tri_hit,naive_conf_score,tri_conf_score
0,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,21645374,22828052,22828052,0,0,4.8181,4.8181
1,Landolt C and snellen e acuity: differences in strabismus amblyopia?,16418930,25266829,23074213,0,0,-0.5970,4.6136
2,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",9488747,20337828,20337828,0,0,-4.1897,-4.1897
3,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,17208539,10613472,12596100,0,0,-3.5630,1.0035
4,Can tailored interventions increase mammography use among HMO women?,10808977,26355038,25927692,0,0,-7.1892,1.1568
5,Double balloon enteroscopy: is it efficacious and safe in a community setting?,23831910,19220668,27014769,0,0,-0.6284,4.2938
6,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,26037986,24158206,27444364,0,0,-2.8608,2.2398
7,Is adjustment for reporting heterogeneity necessary in sleep disorders?,26852225,19491151,22654197,0,0,-8.0772,-3.6670
8,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,17113061,23078883,12795641,0,0,4.0420,5.0463
9,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,10966337,21951356,23688791,0,0,-9.2462,1.3357
10,Did Chile's traffic law reform push police enforcement?,25432938,26615070,12500107,0,0,-8.9047,-10.9716
11,Therapeutic anticoagulation in the trauma patient: is it safe?,18847643,27438683,20065871,0,0,1.5932,2.6605
12,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,18239988,22521357,21457446,0,0,-0.6243,4.4635
13,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,25957366,27148937,24160330,0,0,-6.0861,1.3662
14,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,24866606,26868311,27207087,0,0,-0.8231,1.9717
15,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,26578404,17646499,19542532,0,0,-5.3707,-0.6734
16,Is there still a need for living-related liver transplantation in children?,11729377,12717203,12717203,0,0,4.8745,4.8745
17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,17096624,22869267,26859806,0,0,-11.1358,-4.0968
18,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,22694248,27136472,19954352,0,0,1.1950,4.2437
19,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,22990761,26073640,11533736,0,0,-3.2090,0.5538
