index,question,ground_truth_id,naive_id,tri_id,naive_hit,tri_hit,naive_conf_score,tri_conf_score
0,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,21645374,21645374,21645374,1,1,6.7275,6.7275
1,Landolt C and snellen e acuity: differences in strabismus amblyopia?,16418930,16418930,16418930,1,1,6.6932,6.6932
2,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",9488747,9488747,9488747,1,1,2.0493,2.0493
3,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,17208539,17208539,17208539,1,1,6.5713,6.5713
4,Can tailored interventions increase mammography use among HMO women?,10808977,10808977,10808977,1,1,3.5904,3.5904
5,Double balloon enteroscopy: is it efficacious and safe in a community setting?,23831910,23831910,23831910,1,1,6.1668,6.1668
6,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,26037986,26037986,26037986,1,1,6.5324,6.5324
7,Is adjustment for reporting heterogeneity necessary in sleep disorders?,26852225,19491151,26852225,0,1,-8.0772,6.9760
8,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,17113061,17113061,17113061,1,1,5.5379,5.5379
9,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,10966337,10966337,10966337,1,1,5.6167,5.6167
10,Did Chile's traffic law reform push police enforcement?,25432938,25432938,25432938,1,1,5.4332,5.4332
11,Therapeutic anticoagulation in the trauma patient: is it safe?,18847643,18847643,18847643,1,1,5.8602,5.8603
12,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,18239988,18239988,18239988,1,1,7.4331,7.4331
13,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,25957366,25957366,25957366,1,1,5.2801,5.2801
14,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,24866606,24866606,24866606,1,1,8.5635,8.5635
15,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,26578404,26578404,26578404,1,1,4.4374,4.4374
16,Is there still a need for living-related liver transplantation in children?,11729377,11729377,24726105,1,0,1.8554,5.0242
17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,17096624,17096624,17096624,1,1,7.7934,7.7934
